review	sentiment
หัดเคารพต้นฉบับหน่อยมั้ย	negative
พระเอกหล่อนะ แต่เหมือนขยะเปียกมากไปหน่อย	negative
โคตรเหี้ย	negative
อิสัส ผิดหวังชิบหาย ไม่น่าคาดหวังเลยกู	negative
น่าผิดหวัง ถ้าใครกำลังจะหาหนังเรื่องไหนดู แนะนำเลย ต้องไม่ใช่เรื่องนี้ ไปดูเรื่องอื่นนะ	negative
แย่มากๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ แบบมาก ๆ	negative
เกือบดีละ แต่ติดที่นางเอก จะวิ่งไปเป็นภาระเพื่อ	negative
ถ้าใครชอบนางเอกเก่ง ๆ นะ รีบวิ่งไปเรื่องอื่น เพราะเรื่องนี้โคตรอ่อน และยังงี่เง่าน่ารำคาญอีก	negative
พระเอกเหี้ยเกิน ตอนแรกก็สงสารอยู่ แต่ถ้าจะทำตัวขนาดนี้นะ ขอบายละเรื่องนี้	negative
เสียดาย นางเอกแสดงดีนะ แต่พระเอกแสดงแบบ.....	negative
ชอบกันไปได้ไงวะ	negative
สั้น ๆ เสียความรู้สึก	negative
รู้สึกภาพไม่ค่อยชัด	negative
คุณภาพวิดีโอแย่	negative
ห่วย	negative
ไม่พึงพอใจอย่างแรง	negative
เห็นปกน่าสนใจเลยกดเข้ามาดู แล้วก็รู้สึกว่าตัวเองคิดผิด	negative
โฆษณาขึ้นเยอะเกินไป	negative
นี่ดูหนังรึดูโฆษณา ขึ้นเอาๆ น่ารำคาญ	negative
โคตรไม่เมคเซนส์	negative
ใครจะดูก็ดู นี่ไม่ดู	negative
แม่งเอ้ย	negative
เห็นคนชมเยอะแยะ มาดูเองแล้วเหมือนถูกหลอกอะ	negative
ดูแล้วปวดหัว 	negative
ลบเรื่องนี้เหอะ	negative
แหวะ เห็นแล้วจะอ้วก หยะแหยง	negative
เนื้อเรื่องหดหู่ไป นี่ท้อแทนพระเอก ดูหมดหวังสุด ๆ	negative
เว็บล่มบ่อยมากกกกกกกกกก	negative
เนื้อเรื่องชวนหัวร้อน	negative
ไม่เห็นอินเลย	negative
ตอนจบไม่โอเค น่าจะทำได้ดีกว่านี้	negative
เสียงดนตรีดังไป กลบคำพูดหมด	negative
น่าจะมีซับ	negative
เหม็นขี้หน้าพระเอกสัส ๆ	negative
ตรรกะป่วยจังมึงว่าป่ะ	negative
ตัวร้ายขี้วีนไปปะ	negative
อย่าเวลาดูเลย	negative
ทำมาไปได้ยังไง 	negative
ชุดอย่างแย่ สีแบบ ไม่เข้ากันเลยอะ ควรเปลี่ยน	negative
ยัยเบลไม่เหมาะกับบทนางเอกอะ ควรเป็นนางร้ายมากกว่า	negative
จ้างให้ก็ไม่ดูซ้ำ	negative
ใช้หัวสมองรึหัว...คิดบทวะ	negative
เสียดายเน็ต	negative
บทไม่อิน เหมือนอยู่ ๆ อยากให้อะไรเกิดก็เกิด ปุ้บปั้บเกิน	negative
แสดงไม่ได้เรื่อง	negative
หนังอะไรของมัน	negative
เข้าใจนะ แนวนี้คนชอบน้อย กูเองก็ไม่ชอบอีกหนึ่ง	negative
เนื้อเรื่องงง ๆ	negative
ไม่เข้าใจนิดหน่อย แต่งงมาก ๆ	negative
wastetime	negative
bad	negative
ให้ดาวเดียวพอ	negative
